4039 88234
0 1 84
0 2 87
0 3 78
0 4 16
0 5 94
0 6 36
0 7 87
0 8 93
0 9 50
0 10 22
0 11 63
0 12 28
0 13 91
0 14 60
0 15 64
0 16 27
0 17 41
0 18 27
0 19 73
0 20 37
0 21 12
0 22 69
0 23 68
0 24 30
0 25 83
0 26 31
0 27 63
0 28 24
0 29 68
0 30 36
0 31 30
0 32 3
0 33 23
0 34 59
0 35 70
0 36 68
0 37 94
0 38 57
0 39 12
0 40 43
0 41 30
0 42 74
0 43 22
0 44 20
0 45 85
0 46 38
0 47 99
0 48 25
0 49 16
0 50 71
0 51 14
0 52 27
0 53 92
0 54 81
0 55 57
0 56 74
0 57 63
0 58 71
0 59 97
0 60 82
0 61 6
0 62 26
0 63 85
0 64 28
0 65 37
0 66 6
0 67 47
0 68 30
0 69 14
0 70 58
0 71 25
0 72 96
0 73 83
0 74 46
0 75 15
0 76 68
0 77 35
0 78 65
0 79 44
0 80 51
0 81 88
0 82 9
0 83 77
0 84 79
0 85 89
0 86 85
0 87 4
0 88 52
0 89 55
0 90 100
0 91 33
0 92 61
0 93 77
0 94 69
0 95 40
0 96 13
0 97 27
0 98 87
0 99 95
0 100 40
0 101 96
0 102 71
0 103 35
0 104 79
0 105 68
0 106 2
0 107 98
0 108 3
0 109 18
0 110 93
0 111 53
0 112 57
0 113 2
0 114 81
0 115 87
0 116 42
0 117 66
0 118 90
0 119 45
0 120 20
0 121 41
0 122 30
0 123 32
0 124 18
0 125 98
0 126 72
0 127 82
0 128 76
0 129 10
0 130 28
0 131 68
0 132 57
0 133 98
0 134 54
0 135 87
0 136 66
0 137 7
0 138 84
0 139 20
0 140 25
0 141 29
0 142 72
0 143 33
0 144 30
0 145 4
0 146 20
0 147 71
0 148 69
0 149 9
0 150 16
0 151 41
0 152 50
0 153 97
0 154 24
0 155 19
0 156 46
0 157 47
0 158 52
0 159 22
0 160 56
0 161 80
0 162 89
0 163 65
0 164 29
0 165 42
0 166 51
0 167 94
0 168 1
0 169 35
0 170 65
0 171 25
0 172 15
0 173 88
0 174 57
0 175 44
0 176 92
0 177 28
0 178 66
0 179 60
0 180 37
0 181 33
0 182 52
0 183 38
0 184 29
0 185 76
0 186 8
0 187 75
0 188 22
0 189 59
0 190 96
0 191 30
0 192 38
0 193 36
0 194 94
0 195 19
0 196 29
0 197 44
0 198 12
0 199 29
0 200 30
0 201 77
0 202 5
0 203 44
0 204 64
0 205 14
0 206 39
0 207 7
0 208 41
0 209 5
0 210 19
0 211 29
